text,label
into,en
ЯМ ПГФМ,he_from_ru
עיר,he
CH< GK,he_from_en
пщщв,en_from_ru
РФ,he_from_ru
как,ru
"ybxnj hf,jnf",ru_from_en
ספר,he
дщщл,en_from_ru
идти,ru
על,he
фдд пщ,en_from_ru
תדמצ מכה,ru_from_he
רואה,he
אהבה,he
lj kb,ru_from_en
רכר ףא,ru_from_he
e,ru_from_en
штещ,en_from_ru
RUMV SRL,he_from_en
עולם,he
VHV,he_from_en
место,ru
цфн ьщые,en_from_ru
only,en
will,en
lf;t rnj,ru_from_en
כן,he
дело,ru
щту огые,en_from_ru
еруыу,en_from_ru
же,ru
V <NHS,he_from_en
למם׳,en_from_he
ЗПЩ,he_from_ru
жизнь,ru
ты,ru
ЕРЗМ,he_from_ru
צשלק ךןלק,en_from_he
CH<,he_from_en
all,en
ФЛ,he_from_ru
сказать,ru
nfv,ru_from_en
הוא,he
׳ןאי,en_from_he
שכאקר ןמ,en_from_he
עקא טקשר,en_from_he
GHR NH,he_from_en
"hf,jnf",ru_from_en
למה,he
дело,ru
םור דיק,en_from_he
we,en
אןצק כםר,en_from_he
פעם,he
djn 'nj,ru_from_en
׳יןבי ןמ,en_from_he
KNV,he_from_en
из,ru
צט,en_from_he
אומר,he
RUMV,he_from_en
bvtnm,ru_from_en
ПРК ЯТШ,he_from_ru
עיר,he
ЛТМ,he_from_ru
;t jy,ru_from_en
work,en
z ckjdj,ru_from_en
ТР ЕРД,he_from_ru
VHV,he_from_en
АЫР С,he_from_ru
стать,ru
тот,ru
TVCV HKS,he_from_en
your,en
גאבצ,ru_from_he
ZNI HFUK,he_from_en
шеы акщь,en_from_ru
ЕБ СРБ,he_from_ru
ефлу,en_from_ru
ТР НГС,he_from_ru
стоять,ru
фтн ерун,en_from_ru
מכה גחמ,ru_from_he
פקםפךק,en_from_he
CH< THPV,he_from_en
RE,he_from_en
from,en
для,ru
this,en
פךאבצ,ru_from_he
как,ru
тоже,ru
для,ru
NTUS GUKO,he_from_en
and,en
jlby rjulf,ru_from_en
цу,en_from_ru
цудд гы,en_from_ru
NH,he_from_en
TR>,he_from_en
other,en
K,he_from_en
עןהק,en_from_he
there,en
ерушк цу,en_from_ru
d,ru_from_en
она,ru
ЕБ,he_from_ru
כםר טםו,en_from_he
МГЕ,he_from_ru
מי,he
ПРК ТР,he_from_ru
TCK <NHS,he_from_en
ФТФ,he_from_ru
by,en
этот,ru
פעם,he
ТБР АШ,he_from_ru
ירח,he
год,ru
על,he
ds,ru_from_en
way,en
עחמחה,ru_from_he
מאוד,he
Л ЯТШ,he_from_ru
מחמ,ru_from_he
себя,ru
себя,ru
גם צםדא,en_from_he
ybxnj,ru_from_en
סמח,ru_from_he
из,ru
d,ru_from_en
their,en
"ct,z",ru_from_en
טנ במחזמצ,ru_from_he
day,en
נהאמצ,ru_from_he
out,en
these,en
идти,ru
עם,he
you,en
מתי,he
גבא,ru_from_he
и,ru
зущзду ыуу,en_from_ru
רכרח/ בכה,ru_from_he
АЛ,he_from_ru
היה,he
new,en
ן ׳םרל,en_from_he
בםצק,en_from_he
our,en
שךדם יןד,en_from_he
yf,ru_from_en
GUKO,he_from_en
THPV,he_from_en
טםור נשבל,en_from_he
איקט איק,en_from_he
DO,he_from_en
РФ,he_from_ru
DO THPV,he_from_en
ефлу,en_from_ru
nfv,ru_from_en
тоже,ru
רק,he
שנםוא מק׳,en_from_he
НГС,he_from_ru
יש,he
ב,ru_from_he
FH,he_from_en
такой,ru
VHV,he_from_en
אישא בםצק,en_from_he
מי,he
под,ru
חודא ש,en_from_he
my,en
ТМ АР,he_from_ru
work,en
לנ,ru_from_he
do,en
give,en
סמח נהאמצ,ru_from_he
nj;t ;t,ru_from_en
םוא םמךט,en_from_he
yb ds,ru_from_en
ПАФРГ ЬКРД,he_from_ru
אשלק,en_from_he
vjxm lheu,ru_from_en
нщг,en_from_ru
ЕКЮ ЛЕ,he_from_ru
ОРРЩ,he_from_ru
NH ZNI,he_from_en
עםםג קהקמ,en_from_he
еру Ш,en_from_ru
c,ru_from_en
ецщ ещ,en_from_ru
׳יןבי םר,en_from_he
טנ,ru_from_he
למם׳,en_from_he
C YUC,he_from_en
dct j,ru_from_en
about,en
ты,ru
ТЕГЫ ЕКЮ,he_from_ru
ин ше,en_from_ru
MRHL,he_from_en
ЕМСМ ЛЕ,he_from_ru
החסצ,ru_from_he
ЕРФ,he_from_ru
say,en
THL GUAV,he_from_en
z,ru_from_en
see,en
место,ru
сщьу,en_from_ru
גאבצ בלחגח,ru_from_he
איקט איקמ,en_from_he
צריך,he
can,en
ЛЕ ТР,he_from_ru
זמן,he
צריך,he
",מח כ",ru_from_he
מכה מכרח/,ru_from_he
הד,ru_from_he
ыщьу ерун,en_from_ru
как,ru
איש,he
האבמח,ru_from_he
слово,ru
этот,ru
на,ru
ЯМ ПЩ,he_from_ru
look,en
что,ru
ךח ףנפטצ,ru_from_he
it,en
"kb hf,jnf",ru_from_en
of,en
׳יקמ ׳שט,en_from_he
AK,he_from_en
צט,en_from_he
מה,he
ברכפכמצ,ru_from_he
"xnj,s",ru_from_en
j lf;t,ru_from_en
jy crfpfnm,ru_from_en
TR> HUO,he_from_en
МГЕ АЛ,he_from_ru
ОГФС МРМ,he_from_ru
ЛЕ БТРЫ,he_from_ru
מחףא,ru_from_he
נךמנ,ru_from_he
היה,he
ZNI TCK,he_from_en
RUTV CH<,he_from_en
ефлу ещ,en_from_ru
М ПЛ,he_from_ru
ZV,he_from_en
человек,ru
you,en
гз щерук,en_from_ru
цшер щге,en_from_ru
фтв ыщьу,en_from_ru
цудд,en_from_ru
לנ,ru_from_he
yj ;t,ru_from_en
תדמצ,ru_from_he
",snm",ru_from_en
KT,he_from_en
הד,ru_from_he
גם ישהק,en_from_he
FSH,he_from_en
בםוךג ש,en_from_he
ПЛ ФЩ,he_from_ru
ספר,he
ВЩ,he_from_ru
ZV GUKO,he_from_en
Л ЯТШ,he_from_ru
РГЩ ЕРФ,he_from_ru
צשלק ןכ,en_from_he
most,en
שמג,en_from_he
Л ЛТМ,he_from_ru
so,en
ТМ ЫКД,he_from_ru
e,ru_from_en
לא,he
"cfv ct,z",ru_from_en
to,en
back,en
ספר,he
нуфк,en_from_ru
יכתחמכ הד,ru_from_he
FTI,he_from_en
слово,ru
in,en
КГЬМ ОРРЩ,he_from_ru
יש,he
איפה,he
здесь,ru
иметь,ru
щге,en_from_ru
נוא,en_from_he
первый,ru
z,ru_from_en
ה,he
רכר באתז,ru_from_he
j,ru_from_en
VHV,he_from_en
фаеук,en_from_ru
ЕСЛ,he_from_ru
rjulf tt,ru_from_en
משפחה,he
шт цфн,en_from_ru
two,en
jy rfrjq,ru_from_en
us,en
AK NHO,he_from_en
work,en
תמיד,he
ЕБ,he_from_ru
בא,he
פכ,ru_from_he
jyb,ru_from_en
לא,he
лицо,ru
цршср гы,en_from_ru
in,en
get,en
most,en
KNV GUAV,he_from_en
ты,ru
время,ru
RE VUT,he_from_en
לנ׳ח,ru_from_he
FI,he_from_en
םור שמט,en_from_he
ПАФРГ,he_from_ru
ЕБ ЕЩ,he_from_ru
стать,ru
יודע,he
ыру,en_from_ru
ФЛ,he_from_ru
T< GUAV,he_from_en
c,ru_from_en
מכה חסאטצ,ru_from_he
ерут црфе,en_from_ru
their,en
do,en
XPR HFUK,he_from_en
тщ,en_from_ru
nfrjq tckb,ru_from_en
דבר,he
пшму,en_from_ru
use,en
ащк ыщ,en_from_ru
фдыщ,en_from_ru
איקמ םמ,en_from_he
נט,en_from_he
איקט,en_from_he
עם,he
צשלק,en_from_he
нуфк ыру,en_from_ru
איפה,he
",מח",ru_from_he
סאלחגאר,ru_from_he
тоже,ru
HUO VHV,he_from_en
ни,ru
kb yf,ru_from_en
no,en
שךך,en_from_he
yj ltkj,ru_from_en
חטכ,ru_from_he
ЧЗК,he_from_ru
ים׳ ׳םרל,en_from_he
םוא,en_from_he
"e ,snm",ru_from_en
ф огые,en_from_ru
nfrjq,ru_from_en
f,ru_from_en
HUSG HKS,he_from_en
some,en
׳ק,en_from_he
שד,en_from_he
стать,ru
ПЩ,he_from_ru
tckb tt,ru_from_en
ЕЩ ЕГТК,he_from_ru
SCR ANA,he_from_en
שמג אישא,en_from_he
THL,he_from_en
אישמ,en_from_he
TBH FI,he_from_en
РФ,he_from_ru
there,en
ф нщг,en_from_ru
יום,he
THL HA,he_from_en
GK,he_from_en
come,en
мочь,ru
нщгк,en_from_ru
nfv dtcm,ru_from_en
עולם,he
ЗПЩ АР,he_from_ru
ОРРЩ,he_from_ru
רוצה,he
ףא,ru_from_he
тщ щгк,en_from_ru
ופ,en_from_he
רק,he
М,he_from_ru
мочь,ru
חךנט מכה,ru_from_he
פךאבצ ק,ru_from_he
would,en
HUO CH<,he_from_en
ujkjdf yt,ru_from_en
your,en
фтн црщ,en_from_ru
אבל,he
איק,en_from_he
HUSG,he_from_en
ןמאם איקרק,en_from_he
way,en
rfr,ru_from_en
דרך,he
МРМ,he_from_ru
быть,ru
пщщв ршь,en_from_ru
cfv dtcm,ru_from_en
רחוךכ ךלז,ru_from_he
такой,ru
two,en
ЕБМ,he_from_ru
TU,he_from_en
איקט עם,en_from_he
TCK,he_from_en
",מחמ",ru_from_he
"njn ct,z",ru_from_en
С,he_from_ru
сказать,ru
jlby,ru_from_en
сказать,ru
תמיד,he
ךחה,ru_from_he
K FI,he_from_en
סמח רכרח/,ru_from_he
сфт,en_from_ru
ЕРД КГЕМ,he_from_ru
что,ru
וחך טכךח,ru_from_he
ג חט,ru_from_he
СРБ ЫСК,he_from_ru
xtkjdtr pltcm,ru_from_en
של,he
היה,he
׳ים ךןלק,en_from_he
תמיד,he
way,en
KT,he_from_en
gjnjv z,ru_from_en
עח,ru_from_he
yb,ru_from_en
дело,ru
гыу,en_from_ru
сщьу еруку,en_from_ru
which,en
חושב,he
РГБК,he_from_ru
בםצק,en_from_he
C,he_from_en
AO THA,he_from_en
иметь,ru
ףא,ru_from_he
בגח/ סמח,ru_from_he
слово,ru
человек,ru
