של	1237544
את	933878
על	699114
לא	416972
הוא	346325
זה	312526
עם	275097
קטגוריה	271426
אני	253094
היה	176872
גם	169053
היא	165058
או	161941
מה	144906
בשנת	142736
בין	136952
כל	136627
אתה	131526
לאחר	129022
ידי	124872
כי	115576
יותר	115186
הם	106476
יש	101009
ישראל	100094
אך	96523
עד	94929
לי	92600
זו	92501
כן	87871
אל	87094
אם	85772
ממוזער	85686
כמו	80139
אחד	79874
שם	79715
הייתה	79678
בית	77246
אותו	76073
כך	75778
רק	75537
ביותר	71211
היו	70313
אשר	68343
לך	66103
זאת	65065
כדי	64626
מספר	63497
לו	63370
אבל	62169
בן	59189
הברית	58886
הראשון	58799
בו	58799
כאשר	56712
אף	56557
שלו	55071
שמאל	52944
שני	51374
אז	48480
פי	47816
רבים	47004
במהלך	46878
העיר	46402
שלי	46034
להיות	45526
העולם	44729
יכול	44339
אין	43887
טוב	43669
אותה	43245
לפני	43073
שלא	42455
רוצה	42450
אחת	41697
שלך	41685
שהוא	41596
שנים	41489
בכל	39992
חלק	39784
שנה	39781
בה	39762
באופן	39695
בסדר	39693
עוד	39560
אנחנו	39329
אביב	39014
הראשונה	38787
ניתן	38492
הרב	37642
הספר	36860
דבר	36249
יודע	36055
המאה	36014
חיים	35924
בשם	35767
ראש	35594
כמה	35387
זמן	35368
בני	35187
בישראל	34992
הזה	34665
מאוד	34496
החל	34122
אלו	33947
אדם	33579
מן	32664
ארצות	32318
השני	32096
מי	32057
בבית	32038
תל	31776
לה	31703
אותך	31688
אחר	31554
יום	31392
במקום	30978
המדינה	30891
אלה	30818
מלחמת	30817
לפי	30814
בעיקר	30563
השנייה	30457
כבר	30456
שונים	30431
כלל	30298
באתר	30284
ולא	29942
הן	29543
בעקבות	29477
נגד	29046
אותם	28936
ללא	28731
רב	28624
מכן	28312
ספר	27977
דרך	27753
אחרים	27749
אולם	27640
נולד	27398
וכן	27342
ירושלים	27255
כאן	27215
אותי	27132
רבות	27076
פרס	26890
באמצעות	26484
בעלי	26407
אחרי	26243
בהם	25803
נכון	25718
למה	25429
היום	25407
שהיה	25350
והוא	25017
עבור	24851
בדרך	24770
יהודים	24607
שנות	24542
שלה	24527
עכשיו	24435
מקום	24424
אלא	24346
דוד	24320
שאני	24000
להם	23923
בעיר	23496
כגון	23492
בנוסף	23314
משהו	23300
בעל	23281
יחד	23268
הוצאת	23177
צריך	23127
הכנסת	23014
בשל	22990
במאי	22905
שבו	22755
לכל	22725
מתוך	22668
